index,captum,captum_correction,gradcam,gradcam++
0,0.04311,0.04311,0.04306,0.124
1,0.01391,0.01391,0.02303,0.02285
5,0.07283,0.07283,1.0,0.3192
6,0.1206,0.1206,0.2279,0.2141
7,0.1106,0.1106,0.1529,1.0
9,0.2501,0.1357,0.1518,1.0
10,0.06234,0.06512,0.1822,0.07587
11,0.4842,0.06962,0.2107,0.1027
12,0.0009546,0.0009136,0.001169,0.003661
13,0.04702,0.04702,0.1143,0.06628
14,0.01292,0.01292,0.01948,0.01692
16,0.1461,0.1538,0.1827,0.1703
17,0.01052,0.01052,0.01114,0.02648
18,0.8784,1.0,1.0,1.0
19,0.04053,0.04053,0.05326,0.09099
20,0.07666,0.08159,0.2832,0.2901
21,0.04232,0.04232,0.06661,0.04027
23,0.03354,0.03354,0.03114,0.05483
29,0.08654,0.08781,0.3599,0.1693
30,0.0332,0.0332,0.09688,0.1818
34,0.2286,0.2286,0.2562,0.09917
36,0.03042,0.02894,0.03922,0.08906
38,0.004632,0.004632,0.006432,0.005642
39,0.03806,0.0386,0.04188,0.04416
41,0.07329,0.08005,0.185,0.1875
43,0.04929,0.04929,0.1367,0.1087
44,0.1414,0.1414,0.2272,0.2431
45,0.5167,0.5167,0.3238,0.3979
46,0.04228,0.01761,0.03826,0.0263
47,0.02224,0.02224,0.04123,0.02849
48,0.001127,0.001127,0.001468,0.004504
49,0.01694,0.01694,0.0386,0.03685
50,0.122,0.122,0.4364,0.5836
53,0.02169,0.00915,0.02073,0.02774
54,0.4525,0.4177,0.3119,0.3018
55,0.209,0.209,0.2021,1.0
56,0.0114,0.0114,0.02141,0.00968
60,0.05994,0.05994,0.4319,0.249
62,0.008631,0.008631,0.03564,0.03742
64,0.01776,0.01776,0.01743,0.09981
65,0.09051,0.09051,0.07992,0.1071
66,0.06668,0.06668,0.3336,0.1069
70,0.02364,0.02364,0.01454,0.02492
71,0.01132,0.01132,0.03022,0.08277
72,0.05132,0.05544,0.05132,0.06518
73,0.1426,0.1426,0.1602,1.0
76,0.2322,0.2322,0.2147,0.2147
77,0.02563,0.02509,0.03127,0.03465
78,0.03793,0.04005,0.1961,0.2792
79,0.02438,0.02438,0.03029,0.08155
80,0.04408,0.04408,0.1368,0.04993
81,0.1027,0.1027,0.1856,0.2233
82,0.1559,0.1559,0.1114,0.6478
84,0.05928,0.05838,0.06145,0.06987
86,0.1334,0.1303,0.1482,0.1801
88,0.1372,0.1372,0.2054,0.1252
89,0.04874,0.04874,0.05645,0.07046
90,0.08617,0.09043,0.09156,0.09155
92,0.1959,0.1959,0.4662,0.4471
93,0.0619,0.06099,0.4349,0.4139
94,0.03386,0.03608,0.05407,0.08165
95,0.02062,0.02062,0.03626,0.07238
96,0.03487,0.03487,0.07515,0.1002
97,0.03055,0.03151,0.07935,0.07464
99,0.06127,0.06127,0.08582,0.05905
100,0.02189,0.02189,0.05518,0.06435
102,0.05219,0.05219,0.07524,0.5182
103,0.06964,0.04888,0.03404,0.05185
104,0.0701,0.0701,0.1194,0.3015
105,0.06874,0.06874,0.09626,0.07713
107,0.1374,0.1374,0.1706,1.0
111,0.1885,0.1735,0.2366,0.2189
113,0.04549,0.04644,0.02464,0.02445
116,0.07684,0.07684,0.1075,0.08337
118,0.03304,0.03304,0.05496,0.04634
120,0.1081,0.03791,0.1004,0.07914
122,0.0373,0.0373,0.07821,0.1504
123,1.0,1.0,1.0,0.2225
126,0.07068,0.07068,0.1363,0.1568
130,0.02543,0.02543,0.05412,0.05186
131,0.01446,0.01446,0.03256,0.03983
133,0.4665,0.4665,1.0,0.2753
134,0.09015,0.09015,0.1143,0.313
135,0.02147,0.02147,0.0264,0.0238
136,0.207,0.207,0.207,0.08198
137,0.1176,0.1176,1.0,0.3939
138,0.05382,0.08032,0.04727,0.2241
141,0.3752,0.3752,0.4817,0.6279
142,0.02756,0.02756,0.03045,0.2675
144,0.1365,0.1277,0.08531,0.09827
146,0.05151,0.05459,0.06223,0.231
148,0.04522,0.04522,0.103,0.05509
150,0.05518,0.05518,0.03753,0.07884
154,0.1443,0.1272,0.2005,0.2196
156,0.09019,0.09019,0.05763,0.07522
157,0.08784,0.08784,0.2556,0.2254
158,0.005743,0.005743,0.009293,0.01144
159,0.01455,0.01455,0.01765,0.1005
160,0.1612,0.1612,1.0,1.0
161,0.07799,0.07799,0.4584,1.0
